X,Y,Z,VX,VY,VZ
-25453343.41413143,146091299.3606863,-2712.53625766933,-29.86338200299215,-5.16582221831968,0.001135505005904092
-28029423.2936113,145622412.7440379,-2623.259866826236,-29.76653871071929,-5.687670091951236,0.000928878941652389
-30596733.88261791,145108535.4752217,-2552.28257972002,-29.66041005362881,-6.207243741482356,0.0007133436706032725
-33154478.3877776,144549871.3713223,-2500.002112105489,-29.54512315162306,-6.724375142653749,0.000497541058515516
-35701871.22583321,143946638.3564025,-2466.057002738118,-29.42081094284628,-7.238906073244649,0.000290457842341052
-38238138.65845022,143299067.4921614,-2449.283276811242,-29.28761502613838,-7.750691447217912,0.0001017258444568903
-40762519.59367247,142607401.5959771,-2447.650766931474,-29.14568640201987,-8.259605451338548,-5.823348316313925e-05
-43274266.29912073,141871893.2368516,-2458.199673049152,-28.99518239923066,-8.765549576724188,-0.0001783886006778701
-45772644.62714275,141092802.0238059,-2477.012790091336,-28.83625824682433,-9.268460515460244,-0.0002477684029700278
-48256933.25639223,140270391.3340495,-2499.270569033921,-28.6690528053421,-9.768314581485354,-0.0002567109440687609
-50726421.50180369,139404924.9550444,-2519.43600782007,-28.49367023852315,-10.26512463603447,-0.0001985787093681246
-53180405.52644792,138496664.4287866,-2531.594620138407,-28.31016236295976,-10.7589266617105,-7.154336298231811e-05
-55618183.29530943,137545867.9939717,-2529.929738856852,-28.11851829096062,-11.2497567215797,0.0001201749588188861
-58039049.15462223,136552791.7533976,-2509.260218843818,-27.91866669661316,-11.73762373321474,0.0003661712076166168
-60442289.19602636,135517693.0811735,-2465.534527793527,-27.71049132797861,-12.22248621978877,0.0006509833694137157
-62827178.37400158,134440835.6129719,-2396.184086896479,-27.49385492691367,-12.7042396710447,0.0009561267318725086
-65192979.78435007,133322494.7863264,-2300.285245716572,-27.26862410279854,-13.18271629002796,0.001262374599650506
-67538945.9054191,132162962.9636444,-2178.535635016859,-27.0346891820248,-13.65769414144041,0.001551699436292964
