*******************************************************************************
 Revised: April 12, 2021                 Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised May 9, 2022):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean surface temp (Ts), K= 287.6           Volume, km^3    = 1.08321 x 10^12
  Mean effect. temp (Te), K= 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sat May  3 08:35:20 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2025-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458849.500000000, A.D. 2020-Jan-01 00:00:00.0000, -2.545334341413143E+07,  1.460912993606863E+08, -2.712536257669330E+03, -2.986338200299215E+01, -5.165822218319680E+00,  1.135505005904092E-03,  4.946491287896574E+02,  1.482920781674100E+08,  3.669268430296777E-02,
2458850.500000000, A.D. 2020-Jan-02 00:00:00.0000, -2.802942329361130E+07,  1.456224127440379E+08, -2.623259866826236E+03, -2.976653871071929E+01, -5.687670091951236E+00,  9.288789416523890E-04,  4.946603218010321E+02,  1.482954337478024E+08,  4.104421313494824E-02,
2458851.500000000, A.D. 2020-Jan-03 00:00:00.0000, -3.059673388261791E+07,  1.451085354752217E+08, -2.552282579720020E+03, -2.966041005362881E+01, -6.207243741482356E+00,  7.133436706032725E-04,  4.946728225630247E+02,  1.482991813819670E+08,  4.576979260477487E-02,
2458852.500000000, A.D. 2020-Jan-04 00:00:00.0000, -3.315447838777760E+07,  1.445498713713223E+08, -2.500002112105489E+03, -2.954512315162306E+01, -6.724375142653749E+00,  4.975410585155160E-04,  4.946867403476767E+02,  1.483033538288378E+08,  5.087938763982956E-02,
2458853.500000000, A.D. 2020-Jan-05 00:00:00.0000, -3.570187122583321E+07,  1.439466383564025E+08, -2.466057002738118E+03, -2.942081094284628E+01, -7.238906073244649E+00,  2.904578423410520E-04,  4.947021870849510E+02,  1.483079846441733E+08,  5.638137638742509E-02,
2458854.500000000, A.D. 2020-Jan-06 00:00:00.0000, -3.823813865845022E+07,  1.432990674921614E+08, -2.449283276811242E+03, -2.928761502613838E+01, -7.750691447217912E+00,  1.017258444568903E-04,  4.947192766880972E+02,  1.483131079783067E+08,  6.228058609079803E-02,
2458855.500000000, A.D. 2020-Jan-07 00:00:00.0000, -4.076251959367247E+07,  1.426074015959771E+08, -2.447650766931474E+03, -2.914568640201987E+01, -8.259605451338548E+00, -5.823348316313925E-05,  4.947381234119374E+02,  1.483187580839720E+08,  6.857353502641136E-02,
2458856.500000000, A.D. 2020-Jan-08 00:00:00.0000, -4.327426629912073E+07,  1.418718932368516E+08, -2.458199673049152E+03, -2.899518239923066E+01, -8.765549576724188E+00, -1.783886006778701E-04,  4.947588384536495E+02,  1.483249682972445E+08,  7.524108308381262E-02,
2458857.500000000, A.D. 2020-Jan-09 00:00:00.0000, -4.577264462714275E+07,  1.410928020238059E+08, -2.477012790091336E+03, -2.883625824682433E+01, -9.268460515460244E+00, -2.477684029700278E-04,  4.947815241744819E+02,  1.483317693052543E+08,  8.223954454241725E-02,
2458858.500000000, A.D. 2020-Jan-10 00:00:00.0000, -4.825693325639223E+07,  1.402703913340495E+08, -2.499270569033921E+03, -2.866905280534210E+01, -9.768314581485354E+00, -2.567109440687609E-04,  4.948062658024016E+02,  1.483391866587033E+08,  8.949259917717783E-02,
